exercise_id,name_vi,name_en,category,difficulty,default_duration_sec,default_reps,rest_sec,equipment,primary_muscle,instructions_vi,instructions_en,common_mistakes_vi,common_mistakes_en,safety_note_vi,safety_note_en,video_url,gif_url,thumbnail_url
jumping_jack,Nhảy dang tay chân,Jumping Jack,full_body,beginner,30,,20,none,full_body,"Đứng thẳng, bật nhảy dang chân và đưa tay qua đầu, nhảy về vị trí ban đầu.","Stand tall, jump feet out while raising arms overhead, jump back to start.","Tiếp đất quá mạnh; lưng gù.","Landing too hard; rounded back.","Giữ đầu gối hơi chùng khi tiếp đất.","Keep knees slightly bent when landing.",,,exercise_library.csv/Jumping Jack.jpg
bodyweight_squat,Squat không tạ,Bodyweight Squat,full_body,beginner,,15,30,none,quads_glutes,"Mở chân rộng bằng vai, hạ hông ra sau xuống ngang đùi, đứng dậy siết mông.","Feet shoulder-width apart, push hips back, lower to thigh-parallel, stand up and squeeze glutes.","Đầu gối chụm vào trong; gù lưng.","Knees collapsing inward; rounded back.","Giữ gót chạm sàn và lưng trung lập.","Keep heels grounded and spine neutral.",,exercise_library.csv/squat.webp,exercise_library.csv/squat.webp
reverse_lunge,Chùng chân lùi,Reverse Lunge,full_body,beginner,,12,30,none,legs_glutes,"Bước một chân lùi ra sau, hạ gối sau gần chạm sàn, đẩy về vị trí ban đầu.","Step one leg back, lower rear knee near floor, push back to start.","Bước quá ngắn; thân người đổ trước.","Step too short; torso leaning forward.","Giữ thân thẳng và kiểm soát đầu gối trước.","Keep torso upright and control front knee.",,,exercise_library.csv/Reverse Lunge.jpg
push_up,Kháng đẩy,Push-up,full_body,intermediate,,12,35,none,chest_triceps,"Tay rộng hơn vai một chút, hạ ngực xuống gần sàn, đẩy lên thẳng tay.","Hands slightly wider than shoulders, lower chest near floor, press up.","Võng lưng; khuỷu tay xòe ngang 90 độ.","Sagging hips; elbows flared too wide.","Giữ core siết chặt suốt bài.","Keep core tight throughout.",,exercise_library.csv/Push-up.webp,exercise_library.csv/Push-up.webp
plank,Plank,Plank,full_body,beginner,30,,25,none,core,"Chống cẳng tay, giữ thân thành một đường thẳng, siết bụng và mông.","Forearm support, keep body in a straight line, brace core and glutes.","Hông võng xuống; ngẩng cổ quá cao.","Hips dropping; neck hyperextension.","Dừng lại nếu đau lưng dưới.","Stop if you feel lower-back pain.",,exercise_library.csv/plank.gif,exercise_library.csv/plank.gif
crunch,Gập bụng,Crunch,core,beginner,,20,20,none,abs,"Nằm ngửa co gối, nâng vai khỏi sàn, siết bụng rồi hạ xuống chậm.","Lie on back with knees bent, lift shoulders off floor, squeeze abs, lower slowly.","Kéo cổ bằng tay; dùng đà quá nhiều.","Pulling neck with hands; using momentum.","Giữ cằm cách ngực một nắm tay.","Keep a fist-width gap between chin and chest.",,,exercise_library.csv/Crunch.jpg
bicycle_crunch,Gập bụng đạp xe,Bicycle Crunch,core,intermediate,30,,20,none,abs_obliques,"Luân phiên chạm khuỷu tay vào gối đối diện, chân còn lại duỗi thẳng.","Alternate elbow to opposite knee while extending the other leg.","Đẩy cổ; đi quá nhanh mất kiểm soát.","Neck pulling; moving too fast without control.","Thở đều và xoay thân từ core.","Breathe steadily and rotate from the core.",,exercise_library.csv/Bicycle Crunch.webp,exercise_library.csv/Bicycle Crunch.webp
leg_raise,Nâng chân,Leg Raise,core,intermediate,,15,25,none,lower_abs,"Nằm ngửa, nâng hai chân lên gần vuông góc, hạ xuống chậm không chạm sàn.","Lie on back, raise legs toward 90 degrees, lower slowly without touching floor.","Lưng dưới bị cong; thả chân rơi tự do.","Lower back arching; dropping legs quickly.","Ép lưng dưới xuống sàn.","Press lower back into the floor.",,exercise_library.csv/Leg Raise.webp,exercise_library.csv/Leg Raise.webp
russian_twist,Vặn bụng Nga,Russian Twist,core,intermediate,30,,20,none,obliques,"Ngồi ngả nhẹ người, nâng chân hoặc đặt gót chạm sàn, xoay thân sang hai bên.","Sit with slight lean back, lift feet or keep heels down, rotate torso side to side.","Chỉ vung tay, không xoay thân.","Only swinging arms instead of rotating torso.","Giữ lưng thẳng và core căng.","Keep spine tall and core braced.",,exercise_library.csv/Russian Twist.webp,exercise_library.csv/Russian Twist.webp
side_plank,Plank nghiêng,Side Plank,core,intermediate,25,,20,none,obliques,"Chống một cẳng tay, nâng hông khỏi sàn, giữ cơ thể thành đường thẳng.","Support on one forearm, lift hips, keep body in a straight line.","Hông rơi xuống; vai nhún lên tai.","Hips dropping; shoulder shrugged to ear.","Đổi bên đều nhau mỗi hiệp.","Train both sides evenly each set.",,exercise_library.csv/Side Plank.webp,exercise_library.csv/Side Plank.webp
